Name,Internal name,Output file,Subprogram name,Graph name,CLM name
ANRAIN,nrout2,micro_mg_cam.F90,,nrout2__micro_mg_cam_tend,
ANSNOW,nsout2,micro_mg_cam.F90,,nsout2__micro_mg_cam_tend,
AODDUST1,dustaodmode,modal_aer_opt.F90,,,
AODDUST3,dustaodmode,modal_aer_opt.F90,,,
AODVIS,aodvis,modal_aer_opt.F90,,,
AQRAIN,qrout2,micro_mg_cam.F90,,qrout2__micro_mg_cam_tend,
AQSNOW,qsout2,micro_mg_cam.F90,,qsout2__micro_mg_cam_tend,
AREI,efiout_grid,micro_mg_cam.F90,,,
AREL,efcout_grid,micro_mg_cam.F90,,,
AWNC,ncout_grid,micro_mg_cam.F90,,,
AWNI,niout_grid,micro_mg_cam.F90,,,
BURDENBC,burdenbc,modal_aer_opt.F90,,,
BURDENDUST,burdendust,modal_aer_opt.F90,,,
BURDENPOM,burdenpom,modal_aer_opt.F90,,,
BURDENSEASALT,burdenseasalt,modal_aer_opt.F90,,,
BURDENSO4,burdenso4,modal_aer_opt.F90,,,
BURDENSOA,burdensoa,modal_aer_opt.F90,,,
CCN3,"ccn(1,1,l)",ndrop.F90,,,
CDNUMC,cdnumc_grid,micro_mg_cam.F90,,,
CLDHGH,clhgh,cloud_cover_diags.F90,,clhgh__cloud_cover_diags_out,
CLDICE,"state%q(1,1,m)",cam_diagnostics.F90,,,
CLDLIQ,"state%q(1,1,m)",cam_diagnostics.F90,,,
CLDLOW,cllow,cloud_cover_diags.F90,,,
CLDMED,clmed,cloud_cover_diags.F90,,clmed__cloud_cover_diags_out,
CLDTOT,cltot,cloud_cover_diags.F90,,,
CLOUD,cld,cloud_cover_diags.F90,,cld__cloud_cover_diags_out,
DCQ,"dqcond(m)%cnst(:,:,lchnk)",cam_diagnostics.F90,,,
DMS_SRF,"vmr(:ncol,pver,m)",mo_chm_diags.F90,,,
DTCOND,"dtcond(:,:,lchnk)",cam_diagnostics.F90,,,
DTV,"ptend%s(:ncol,:) / cpair",vertical_diffusion.F90,vertical_diffusion_tend,dtk__vertical_diffusion_tend,
FICE,nfice,micro_mg_cam.F90,,,
DTWR_H2O2,"dtwr(:,:,m)",mo_neu_wetdep.F90,,,
DTWR_H2SO4,"dtwr(:,:,m)",mo_neu_wetdep.F90,,,
DTWR_SO2,"dtwr(:,:,m)",mo_neu_wetdep.F90,,,
FLDS,cam_out%flwds,radiation.F90,radiation_tend,cam_out%flwds__radiation_tend,eflx_lwrad_out?
FLNS,flns,radiation.F90,,flns__radiation_tend,eflx_lwrad_out?
FLNSC,flnsc,radiation.F90,,,eflx_lwrad_out?
FLNT,flnt,radiation.F90,,,
FLNTC,flntc,radiation.F90,,,
FLUT,flut,radiation.F90,,,
FLUTC,flutc,radiation.F90,,,
FREQI,freqi_grid,micro_mg_cam.F90,,,
FREQL,freql_grid,micro_mg_cam.F90,,,
FREQR,freqr,micro_mg_cam.F90,,freqr__micro_mg_cam_tend,
FREQS,freqs,micro_mg_cam.F90,,freqs__micro_mg_cam_tend,
FSDS,fsds,radiation.F90,,,
FSDSC,fsdsc,radiation.F90,radiation_tend,,
FSNS,fsns,radiation.F90,,,
FSNSC,fsnsc,radiation.F90,,,
FSNT,,,,,
FSNTC,fsntc,radiation.F90,,,
FSNTOA,,,,,
FSNTOAC,fsntoac,radiation.F90,,,
H2O2_SRF,"vmr(:ncol,pver,m)",mo_chm_diags.F90,,,
H2SO4_SRF,,,,,
ICIMR,icimr,cloud_diagnostics.F90,,,
ICWMR,icwmr,cloud_diagnostics.F90,,,
IWC,iwc,cloud_diagnostics.F90,,,
LHFLX,cam_in%lhf,cam_diagnostics.F90,diag_surf,cam_in%lhf__diag_surf,eflx_lh_tot
NUMICE,,,,,
NUMLIQ,"state%q(1,1,m)",cam_diagnostics.F90,,,
OMEGA,state%omega,cam_diagnostics.F90,,,
OMEGAT,"state%omega(:ncol,:)*state%t(:ncol,:)",,,,
PBLH,pblh,vertical_diffusion.F90,,,
PRECC,precc,convect_shallow.F90,,,
PRECL,precl,cam_diagnostics.F90,,,
PRECSC,snowc,,,,
PRECSL,snowl,cam_diagnostics.F90,,snowl__diag_conv,
PS,state%ps,cam_diagnostics.F90,,,
PSL,,,,,
Q,,,,,q_ref2m
QFLX,"cam_in%cflx(1,1)",cam_diagnostics.F90,diag_surf,cam_in%cflx__diag_surf,qflx_evap_tot
QREFHT,cam_in%qref,cam_diagnostics.F90,diag_surf,cam_in%qref__diag_surf,
QRL,"qrl (:ncol,:)/cpair",radiation.F90,,qrl__radiation_tend,
QRS,,radiation.F90,,,
RELHUM,"state%q(:ncol,:,1)/ftem(:ncol,:)*100._r8",cam_diagnostics.F90,diag_phys_writeout,state%q__diag_phys_writeout,
SHFLX,cam_in%shf,cam_diagnostics.F90,diag_surf,cam_in%shf__diag_surf,eflx_sh_tot
SNOWHLND,cam_in%snowhland,cam_diagnostics.F90,diag_surf,cam_in%snowhland__diag_surf,h2osno ???
SO2_SRF,"vmr(:ncol,pver,m)",mo_chm_diags.F90,,,
SOAG_SRF,,,,,
T,state%t,cam_diagnostics.F90,,,t_ref2m
TAUGWX,tau0x,gw_drag.F90,gw_tend,tau0x__gw_tend,
TAUGWY,tau0y,gw_drag.F90,gw_tend,tau0y__gw_tend,
TAUX,cam_in%wsx,cam_diagnostics.F90,diag_surf,cam_in%wsx__diag_surf,taux?
TAUY,cam_in%wsy,cam_diagnostics.F90,diag_surf,cam_in%wsy__diag_surf,tauy?
TGCLDIWP,tgicewp,cloud_diagnostics.F90,,,
TGCLDLWP,tgliqwp,cloud_diagnostics.F90,,,
TMQ,"state%q(:ncol,:,1) * state%pdel(:ncol,:) * rga",cam_diagnostics.F90,,,
TREFHT,cam_in%tref,cam_diagnostics.F90,diag_surf,cam_in%tref__diag_surf,
TS,cam_in%ts,cam_diagnostics.F90,diag_surf,cam_in%ts__diag_surf,t_rad
U,state%u,cam_diagnostics.F90,,,
U10,cam_in%u10,cam_diagnostics.F90,diag_surf,cam_in%u10__diag_surf,u_ref10m
UU,state%u,,,,
V,state%v,cam_diagnostics.F90,diag_phys_writeout,,
VD01,"ptend%q(1,1,m)",vertical_diffusion.F90,,ptend%q__vertical_diffusion_tend,
VQ,"state%v(:ncol,:)*state%q(:ncol,:,1)",cam_diagnostics.F90,,,
VT,"state%v(:ncol,:)*state%t(:ncol,:)",cam_diagnostics.F90,,,
VU,,,,,
VV,"state%v(:ncol,:)**2",cam_diagnostics.F90,,,
WGUSTD,wpert,vertical_diffusion.F90,vertical_diffusion_tend,wpert__vertical_diffusion_tend,
WSUB,wsub,microp_aero.F90,,wsub__microp_aero_run,
Z3,z3,cam_diagnostics.F90,,,
bc_a1_SRF,"mmr(:ncol,pver,m)",mo_chm_diags.F90,,,
dst_a1_SRF,"mmr(:ncol,pver,m)",mo_chm_diags.F90,,,
dst_a3_SRF,"mmr(:ncol,pver,m)",mo_chm_diags.F90,,,
ncl_a1_SRF,"mmr(:ncol,pver,m)",mo_chm_diags.F90,,,
ncl_a2_SRF,"mmr(:ncol,pver,m)",mo_chm_diags.F90,,,
ncl_a3_SRF,,,,,
num_a1_SRF,"mmr(:ncol,pver,m)",mo_chm_diags.F90,,,
num_a2_SRF,"mmr(:ncol,pver,m)",mo_chm_diags.F90,,,
num_a3_SRF,"mmr(:ncol,pver,m)",mo_chm_diags.F90,,,
pom_a1_SRF,,,,,
so4_a1_SRF,,,,,
so4_a2_SRF,"mmr(:ncol,pver,m)",mo_chm_diags.F90,,,
so4_a3_SRF,"mmr(:ncol,pver,m)",mo_chm_diags.F90,,,
soa_a1_SRF,"mmr(:ncol,pver,m)",mo_chm_diags.F90,,,
soa_a2_SRF,"mmr(:ncol,pver,m)",mo_chm_diags.F90,,,
